Districts,Regions,Sex,Age Range,Count
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,18-20,1180
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,21-25,2734
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,26-30,3443
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,31-35,3928
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,Female ,36-40,4476
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,41-45,4990
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,46-50,5322
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,51-55,5570
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,56-60,6322
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,61-65,5753
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,Male ,66-70,4904
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,F,71,8793
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,18-20,1100
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,21-25,2781
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,26-30,3456
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,31-35,3575
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,36-40,4116
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,41-45,4496
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,Male ,46-50,4592
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,51-55,4834
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,56-60,5714
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,61-65,5493
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,66-70,4720
CENTRAL & WESTERN DISTRICT,HONG KONG ISLAND,M,71,8191
EASTERN DISTRICT,HONG KONG ISLAND,F,18-20,3554
EASTERN DISTRICT,HONG KONG ISLAND,F,21-25,8995
EASTERN DISTRICT,HONG KONG ISLAND,F,26-30,10559
