X,Y,OBJECTID,GMID,Dataset,Facility_Name,Address,數據集,設施名稱,地址,District,地區,Library_Type,圖書館種類,Opening_Hours,開放時間,Telephone,聯絡電話,Fax_Number,傳真號碼,Email_Address,電郵地址,Website,網頁,Latitude,Longitude,Building_CSUID,Northing,Easting
114.11152,22.5014,1,Ws4pkZ2Bgl,Libraries,Kam Tsin Village(Mobile Library 12),"Carpark of Kam Tsin Village Ho Tung School, Sheung Shui",圖書館,金錢村(流動圖書館十二),上水金錢村何東學校停車場,NORTH,北區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/north/mobile12/kam-tsin-village.html,https://www.hkpl.gov.hk/tc/locations/north/mobile12/kam-tsin-village.html,22.5014,114.11152,,840199,829543
114.1705,22.29438,2,Li5kAJgDVx,Libraries,Self-service Library Station (Hong Kong Cultural Centre),"Hong Kong Cultural Centre, 10 Salisbury Road, Tsim Sha Tsui",圖書館,自助圖書站(香港文化中心),尖沙咀梳士巴利道10號香港文化中心,YAU TSIM MONG,油尖旺,SELF-SERVICE LIBRARY STATION,自助圖書站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/library-station/kowloon/hong-kong-cultural-centre.html,https://www.hkpl.gov.hk/tc/locations/library-station/kowloon/hong-kong-cultural-centre.html,22.29438,114.1705,,817274,835611
113.977000000000103,22.24316,3,YzOrnDvEbH,Libraries,Pui O(Mobile Library 4),"Adjacent to Pui O Public Car Park at the Junction of South Lantau Road and Chi Ma Wan Road, Lantau Island",圖書館,貝澳(流動圖書館四),大嶼山嶼南道與芝麻灣道交界貝澳公共停車場側,ISLANDS,離島,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/islands/mobile4/public-car-park-at-the.html,http://www.hkpl.gov.hk/tc/locations/islands/mobile4/public-car-park-at-the.html,22.24316,113.977,,811615,815664
114.016170000000102,22.29574,4,1P8nfHHF7t,Libraries,Discovery Bay(Mobile Library 4),"Adjacent to Discovery Bay Post Office at Discovery Bay Plaza, Discovery Bay",圖書館,愉景灣(流動圖書館四),愉景灣愉景廣場愉景灣郵政局側,ISLANDS,離島,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/islands/mobile4/adjacent-to-water-feature-at.html,http://www.hkpl.gov.hk/tc/locations/islands/mobile4/adjacent-to-water-feature-at.html,22.29574,114.01617,,817433,819708
114.18596,22.33828,5,zGkudWneOd,Libraries,Lok Fu Public Library,"Shop No. 112 3/F.,Lok Fu Plaza ,Junction Road Kowloon",圖書館,樂富公共圖書館,九龍聯合道樂富廣場三樓112號,WONG TAI SIN,黃大仙,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/wong-tai-sin/library/lok-fu.html,http://www.hkpl.gov.hk/tc/locations/wong-tai-sin/library/lok-fu.html,22.33828,114.18596,,822135,837204
114.23558,22.26429,6,YU0wGwNYSc,Libraries,Kut Shing Street(Mobile Library 9),"In front of Law Uk Folk Museum Rest Garden, Kut Shing Street, Chai Wan, Hong Kong",圖書館,吉勝街(流動圖書館九),香港柴灣吉勝街羅屋民俗館休憩花園前,EASTERN,東區,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/eastern/mobile9/kut-shing-street.html,https://www.hkpl.gov.hk/tc/locations/eastern/mobile9/kut-shing-street.html,22.26429,114.23558,,813943,842319
114.2221,22.28491,7,xuatAXIOuH,Libraries,Self-service Library Station(Island East Sports Centre Sitting-out Area),"Island East Sports Centre Sitting-out Area, 52, Lei King Road, Sai Wan Ho",圖書館,自助圖書站(港島東體育館休憩處),西灣河鯉景道52號港島東體育館休憩處,EASTERN,東區,SELF-SERVICE LIBRARY STATION,自助圖書站,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/library-station/hong-kong-island/island-east-sports-centre.html,https://www.hkpl.gov.hk/tc/locations/library-station/hong-kong-island/island-east-sports-centre.html,22.28491,114.2221,,816226,840929
114.26353,22.30701,8,7mqt4IqpzA,Libraries,Yee Ming Estate(Mobile Library 5),"Adjacent to Yee Ching House, Yee Ming Estate, Tseung Kwan O, N.T.",圖書館,怡明邨(流動圖書館五),新界將軍澳怡明邨怡情樓側,SAI KUNG,西貢,MOBILE LIBRARY,流動圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/sai-kung/mobile5/yee-ming-estate.html,https://www.hkpl.gov.hk/tc/locations/sai-kung/mobile5/yee-ming-estate.html,22.30701,114.26353,,818675,845197
114.0239,22.44133,9,OFOKNtKRCl,Libraries,Yuen Long Public Library,"G-1/F, Yuen Long Leisure & Cultural Building, 52 Ma Tin Road, Yuen Long, N.T.",圖書館,元朗公共圖書館,新界元朗馬田路52號元朗文化康樂大樓地下及一樓,YUEN LONG,元朗,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,http://www.hkpl.gov.hk/en/locations/yuen-long/library/yuen-long.html,http://www.hkpl.gov.hk/tc/locations/yuen-long/library/yuen-long.html,22.44133,114.0239,2052133554T20160204,833554,820521
114.20482,22.37935,10,rHipDULeLN,Libraries,Yuen Chau Kok Public Library,"High Block of Yuen Chau Kok Complex, 35 Ngan Shing Street, Sha Tin",圖書館,圓洲角公共圖書館,沙田銀城街35號圓洲角綜合大樓高座,SHA TIN,沙田,STATIC LIBRARY,固定圖書館,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,https://www.hkpl.gov.hk/en/locations/sha-tin/library/yuen-chau-kok.html,https://www.hkpl.gov.hk/tc/locations/sha-tin/library/yuen-chau-kok.html,22.37935,114.20482,3914626683T20160630,826683,839146
